# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1257
#@/user_id	579a2238-8d25-4c25-b893-3be8d0bff1ed
a 	啊	c=7 d=4.12363 t=1257
ni rang wo 	你讓我	c=1 d=0.927743 t=1257
ni shuo 	你說	c=1 d=1.0105 t=1257
ni zhe 	你這	c=1 d=0.980199 t=1257
ni zi ji 	你自己	c=0 d=0.0767206 t=1257
ni zi ji zhuang 	你自己裝	c=1 d=0.771052 t=1257
nian 	年	c=1 d=0.99005 t=1257
nian jia 	年假	c=1 d=0.97531 t=1257
nian qian 	年前	c=0 d=0.0923116 t=1257
nian qing 	年輕	c=1 d=0.937067 t=1257
nv 	女	c=1 d=0.995012 t=1257
nv de 	女的	c=1 d=0.980199 t=1257
o 	哦	c=0 d=0.0955997 t=1257
o 	噢	c=2 d=1.8385 t=1257
o mei shi le 	哦沒事了	c=1 d=0.960789 t=1257
pai 	派	c=1 d=0.951229 t=1257
pai le 	拍了	c=1 d=0.771052 t=1257
pan 	盤	c=3 d=2.466 t=1257
pang xie 	螃蟹	c=1 d=0.937067 t=1257
pao 	跑	c=1 d=0.733327 t=1257
pao qi lai 	跑起來	c=1 d=0.965605 t=1257
pei tao 	配套	c=1 d=0.895834 t=1257
pei zhi 	配置	c=1 d=0.951229 t=1257
peng guo 	碰過	c=0 d=0.099005 t=1257
ping chang 	平常	c=1 d=0.826959 t=1257
ping mu 	屏幕	c=1 d=0.955997 t=1257
qi 	器	c=1 d=0.99005 t=1257
qi dong 	啓動	c=0 d=0.083527 t=1257
qi dong qi lai 	啓動起來	c=1 d=0.839457 t=1257
qi fen 	氣氛	c=1 d=0.904837 t=1257
qi lai 	起來	c=0 d=0.083527 t=1257
qi ma 	起碼	c=0 d=0.0794534 t=1257
qi shi 	其實	c=4 d=2.57589 t=1257
qi ta 	其他	c=2 d=1.97344 t=1257
qi ta wang ye 	其他網頁	c=1 d=0.985112 t=1257
qian 	前	c=1 d=0.941765 t=1257
qiang guo 	熗鍋	c=1 d=0.960789 t=1257
qing jia 	請假	c=1 d=0.524663 t=1257
qing li 	清理	c=1 d=0.865022 t=1257
qing ni 	請你	c=1 d=0.826959 t=1257
qing song 	輕鬆	c=1 d=0.918512 t=1257
qing wo 	請我	c=0 d=0.0946485 t=1257
qing wo chi fan 	請我吃飯	c=1 d=0.951229 t=1257
qing xu 	情緒	c=0 d=0.0960789 t=1257
qing xu wen ding 	情緒穩定	c=1 d=0.965605 t=1257
qu 	去	c=2 d=1.73281 t=1257
qu na 	去哪	c=0 d=0.0960789 t=1257
qu na bian 	去哪邊	c=1 d=0.965605 t=1257
qu nian 	去年	c=1 d=0.913931 t=1257
quan da 	全打	c=0 d=0.099005 t=1257
quan da chu lai 	全打出來	c=1 d=0.995012 t=1257
quan dou 	全都	c=2 d=1.48314 t=1257
que 	缺	c=1 d=0.99005 t=1257
que shi 	確實	c=3 d=3.12824 t=1257
que shi 	缺失	c=1 d=1.03558 t=1257
que shi mei you 	確實沒有	c=1 d=0.995012 t=1257
ran hou 	然後	c=3 d=2.74077 t=1257
ran hou ne 	然後呢	c=1 d=0.985112 t=1257
rang wo 	讓我	c=0 d=0.0923116 t=1257
ren pin 	人品	c=1 d=0.960789 t=1257
ri chang 	日常	c=2 d=1.74745 t=1257
ru 	入	c=1 d=0.946485 t=1257
ru guo 	如果	c=1 d=0.650509 t=1257
ruan jian 	軟件	c=0 d=0.088692 t=1257
san ge 	三個	c=1 d=0.965605 t=1257
san guo 	三國	c=1 d=0.951229 t=1257
sha 	啥	c=3 d=2.43869 t=1257
sha bi 	傻逼	c=0 d=0.097531 t=1257
sha bi wen ti 	傻逼問題	c=1 d=0.980199 t=1257
shan diao 	刪掉	c=1 d=0.898598 t=1257
shang 	上	c=9 d=5.60736 t=1257
shang ci 	上次	c=1 d=0.941765 t=1257
shang qu 	上去	c=0 d=0.0923116 t=1257
shang qu zhi hou 	上去之後	c=1 d=0.927743 t=1257
shang shi ji 	上世紀	c=1 d=0.790571 t=1257
shang xia wen 	上下文	c=1 d=0.960789 t=1257
shang ye 	商業	c=0 d=0.0895834 t=1257
shang ye de 	商業的	c=1 d=0.900325 t=1257
shao nv 	少女	c=0 d=0.099005 t=1257
she zhi 	設置	c=1 d=0.860708 t=1257
shen me 	什麼	c=0 d=0.0951229 t=1257
shen me yu ming 	什麼域名	c=1 d=0.955997 t=1257
shen zhi 	甚至	c=0 d=0.0985112 t=1257
shen zhi shi 	甚至是	c=1 d=0.99005 t=1257
sheng cheng 	生成	c=2 d=1.3801 t=1257
sheng ji 	升級	c=1 d=0.903086 t=1257
sheng ji wan 	升級完	c=1 d=0.806541 t=1257
sheng ming bu xi 	生命不息	c=1 d=0.99005 t=1257
shi 	實	c=1 d=0.900325 t=1257
shi 	是	c=15 d=7.43774 t=1257
shi 	試	c=1 d=1 t=1257
shi a 	是啊	c=1 d=0.491644 t=1257
shi ba 	是吧	c=1 d=0.937067 t=1257
shi bie 	識別	c=1 d=0.970446 t=1257
shi bu chong 	是補充	c=1 d=0.869358 t=1257
shi bu shi 	是不是	c=1 d=0.891366 t=1257
shi de 	是的	c=3 d=2.84583 t=1257
shi guo 	試過	c=2 d=1.88504 t=1257
shi hao shi 	是好事	c=1 d=1 t=1257
shi hou 	時候	c=5 d=2.80312 t=1257
shi jian 	時間	c=1 d=0.927743 t=1257
shi ming 	使命	c=0 d=0.0927743 t=1257
shi nian qian 	十年前	c=1 d=0.771052 t=1257
shi sha 	是啥	c=1 d=0.790571 t=1257
shi xiao 	失效	c=1 d=0.946485 t=1257
shi yao 	是要	c=1 d=0.588605 t=1257
shi yong 	使用	c=2 d=1.77492 t=1257
shi zhe yang 	是這樣	c=1 d=0.932394 t=1257
shi zhe yang de 	是這樣的	c=1 d=0.882497 t=1257
shou 	瘦	c=1 d=0.918512 t=1257
shou fei 	收費	c=1 d=1 t=1257
shou jian 	手賤	c=1 d=0.532592 t=1257
shu chu 	輸出	c=1 d=0.615697 t=1257
shu fu 	舒服	c=0 d=0.0995012 t=1257
shu fu duo le 	舒服多了	c=1 d=1 t=1257
shu ju 	數據	c=1 d=0.99005 t=1257
shu ru fa 	輸入法	c=3 d=2.73345 t=1257
shuang 	爽	c=0 d=0.097531 t=1257
shuang 	雙	c=1 d=0.985112 t=1257
shuang xi tong 	爽系統	c=1 d=0.980199 t=1257
shui guo 	水果	c=1 d=0.97531 t=1257
shui hu 	水滸	c=1 d=0.99005 t=1257
shun bian 	順便	c=1 d=0.99005 t=1257
shuo hua de 	說話的	c=1 d=0.951229 t=1257
shuo le 	說了	c=0 d=0.0798516 t=1257
shuo le yi nian le 	說了一年了	c=1 d=0.802519 t=1257
shuo wan 	說完	c=0 d=0.0927743 t=1257
si le 	死了	c=1 d=0.794534 t=1257
si zai 	死在	c=1 d=0.934771 t=1257
si zai zhe 	死在這	c=1 d=1 t=1257
su zhou 	蘇州	c=0 d=0.0970446 t=1257
su zhou zhe bian 	蘇州這邊	c=1 d=0.97531 t=1257
suan 	算	c=1 d=0.980199 t=1257
suan le 	算了	c=2 d=1.96079 t=1257
sui ran 	雖然	c=1 d=0.970446 t=1257
suo 	梭	c=0 d=0.0955997 t=1257
suo yi 	所以	c=3 d=2.47907 t=1257
ta 	他	c=1 d=0.701173 t=1257
ta hui 	他會	c=1 d=0.904837 t=1257
tai 	太	c=1 d=0.970446 t=1257
tai dan teng 	太但疼	c=1 d=0.900325 t=1257
tai hu 	太湖	c=2 d=1.88839 t=1257
tai shi ji 	臺式機	c=3 d=2.08894 t=1257
tai shi ji shang 	臺式機上	c=1 d=0.955997 t=1257
te bie 	特別	c=0 d=0.0980199 t=1257
te bie xiao 	特別小	c=1 d=0.985112 t=1257
ti liang 	體量	c=2 d=1.80562 t=1257
ti yan 	體驗	c=0 d=0.0965605 t=1257
ti yan yi xia 	體驗一下	c=1 d=0.970446 t=1257
ti zi 	梯子	c=2 d=1.68 t=1257
tian ping 	天平	c=1 d=0.869358 t=1257
tian qi 	天氣	c=1 d=0.955997 t=1257
tiao 	調	c=0 d=0.0995012 t=1257
tiao jian 	條件	c=0 d=0.0955997 t=1257
ting hao 	挺好	c=0 d=0.0937067 t=1257
ting hao de 	挺好的	c=1 d=0.941765 t=1257
tong guan 	通關	c=1 d=0.965605 t=1257
tong le 	通了	c=0 d=0.0562705 t=1257
tong xue 	同學	c=0 d=0.099005 t=1257
tong yi ge 	同一個	c=1 d=0.726149 t=1257
tong zhi 	通知	c=1 d=0.955997 t=1257
tou shang 	頭上	c=1 d=0.786628 t=1257
tu ran 	突然	c=1 d=0.839457 t=1257
tui 	退	c=0 d=0.0822835 t=1257
tui huan jing 	退環境	c=1 d=0.826959 t=1257
tui jian 	推薦	c=0 d=0.099005 t=1257
wai 	歪	c=1 d=0.878095 t=1257
wai mian 	外面	c=2 d=1.83662 t=1257
wan 	完	c=0 d=0.0802519 t=1257
wan fan 	晚飯	c=1 d=0.970446 t=1257
wan le 	玩了	c=0 d=0.0687289 t=1257
wan le yi xia 	玩了一下	c=1 d=0.690734 t=1257
wan quan 	完全	c=0 d=0.0790571 t=1257
wan quan bu guan 	完全不管	c=1 d=0.794534 t=1257
wan quan mian fei 	完全免費	c=1 d=1 t=1257
wan yi er 	玩意兒	c=0 d=0.237147 t=1257
wang 	王	c=0 d=0.099005 t=1257
wang le 	忘了	c=2 d=1.91202 t=1257
wang ling guan 	王靈官	c=1 d=0.995012 t=1257
wang ye 	網頁	c=0 d=0.0980199 t=1257
wang zhan 	網站	c=1 d=0.955997 t=1257
wei dao 	味道	c=1 d=0.99005 t=1257
wei du 	維度	c=1 d=0.970446 t=1257
wei shen me 	爲什麼	c=2 d=1.55292 t=1257
wei shen me yao 	爲什麼要	c=1 d=0.923116 t=1257
wei zhi 	位置	c=1 d=0.995012 t=1257
wen 	文	c=1 d=0.965605 t=1257
wen ding 	穩定	c=0 d=0.0960789 t=1257
wen ge 	問個	c=1 d=0.97531 t=1257
wen jian 	文件	c=3 d=2.17224 t=1257
wen jian ming 	文件名	c=2 d=1.52684 t=1257
wen ti 	問題	c=3 d=2.34145 t=1257
wo 	我	c=7 d=3.55709 t=1257
wo ba 	我把	c=2 d=0.83459 t=1257
wo bu 	我不	c=0 d=0.0802519 t=1257
wo bu jiu 	我不就	c=1 d=0.806541 t=1257
wo cong 	我從	c=1 d=0.923116 t=1257
wo de 	我的	c=2 d=1.53175 t=1257
wo dou 	我都	c=0 d=0.099005 t=1257
wo dou mei you 	我都沒有	c=1 d=0.995012 t=1257
wo fa xian 	我發現	c=1 d=0.891366 t=1257
wo guan dian 	我觀點	c=1 d=0.941765 t=1257
wo jiu 	我就	c=1 d=1.07835 t=1257
wo jiu zhao chu lai le 	我就找出來了	c=1 d=0.937067 t=1257
wo jue de 	我覺得	c=1 d=1.02335 t=1257
wo jue de shi 	我覺得是	c=1 d=0.960789 t=1257
wo kan le xia 	我看了下	c=1 d=0.970446 t=1257
wo qu 	我去	c=1 d=1.00857 t=1257
wo qu kan kan 	我去看看	c=1 d=0.489192 t=1257
wo shang 	我上	c=0 d=0.0909373 t=1257
wo shang ci da kai de 	我上次大開得	c=1 d=0.913931 t=1257
wo shi 	我是	c=1 d=0.995012 t=1257
wo tong xue 	我同學	c=1 d=0.995012 t=1257
wo xia 	我下	c=0 d=0.0904837 t=1257
wo xian zai 	我現在	c=3 d=1.76578 t=1257
wo xiang mai 	我想買	c=1 d=0.856415 t=1257
wo xin 	我信	c=1 d=0.951229 t=1257
wo yao zhao 	我要找	c=1 d=0.946485 t=1257
wo yong 	我用	c=1 d=0.980199 t=1257
wo yong de jiu shi 	我用的就是	c=1 d=0.460704 t=1257
wo you 	我有	c=0 d=0.0818731 t=1257
wo you zui 	我有罪	c=1 d=0.822835 t=1257
wo zai 	我在	c=2 d=1.67556 t=1257
wo zai kan 	我在看	c=1 d=0.955997 t=1257
wo zai xiang 	我在想	c=1 d=0.744532 t=1257
wo zai yong 	我在用	c=1 d=0.995012 t=1257
wo zen me 	我怎麼	c=1 d=0.960789 t=1257
wo zhe ge 	我這個	c=1 d=0.904837 t=1257
wo zheng zai 	我正在	c=1 d=0.985112 t=1257
wo zuo tian 	我昨天	c=2 d=1.76521 t=1257
wu suo wei 	無所謂	c=1 d=1 t=1257
xi huan 	喜歡	c=0 d=0.0847894 t=1257
xi tong 	系統	c=5 d=4.30751 t=1257
xi tong de 	系統的	c=1 d=0.985112 t=1257
xia 	下	c=1 d=0.981906 t=1257
xia ban 	下班	c=1 d=0.913931 t=1257
xia ban nian 	下半年	c=1 d=0.937067 t=1257
xia ci 	下次	c=0 d=0.0818731 t=1257
xia ci yi ding 	下次一定	c=1 d=0.822835 t=1257
xian ka 	顯卡	c=1 d=0.985112 t=1257
xian ka qu dong 	顯卡驅動	c=2 d=1.79671 t=1257
xian shang 	線上	c=0 d=0.0946485 t=1257
xian shang fu wu 	線上服務	c=1 d=0.951229 t=1257
xian shi 	顯示	c=0 d=0.099005 t=1257
xian zai 	現在	c=3 d=1.89984 t=1257
xian zai hao le 	現在好了	c=1 d=0.802519 t=1257
xiang 	想	c=0 d=0.0740818 t=1257
xiang bu dao 	想不到	c=1 d=0.970446 t=1257
xiang kan 	想看	c=1 d=0.875479 t=1257
xiang mu 	項目	c=1 d=0.872242 t=1257
xiao 	小	c=3 d=2.64535 t=1257
xiao dian 	笑點	c=1 d=0.980199 t=1257
xiao guo 	效果	c=1 d=0.882497 t=1257
xiao yuan 	小圓	c=1 d=1 t=1257
xie 	些	c=1 d=0.951229 t=1257
xie 	寫	c=2 d=1.38865 t=1257
xie ben shu 	寫本書	c=1 d=0.932394 t=1257
xie jiao 	邪教	c=1 d=0.955997 t=1257
xie si 	寫死	c=1 d=0.778801 t=1257
xin 	新	c=1 d=0.930432 t=1257
xin ban ben 	新版本	c=1 d=0.970446 t=1257
xin de 	新的	c=1 d=0.985538 t=1257
xin jia po 	新加坡	c=1 d=0.506617 t=1257
xin xi lan 	新西蘭	c=1 d=0.519442 t=1257
xin you jian 	新郵件	c=1 d=0.965605 t=1257
xing 	性	c=0 d=0.0980199 t=1257
xing 	星	c=1 d=0.97531 t=1257
xing 	行	c=1 d=0.755784 t=1257
xing dong 	行動	c=0 d=0.0923116 t=1257
xing neng 	性能	c=1 d=0.891578 t=1257
xing neng bu ru 	性能不如	c=1 d=0.97531 t=1257
xiu 	休	c=1 d=0.970446 t=1257
xiu 	修	c=1 d=0.995012 t=1257
xu ni ji 	虛擬機	c=1 d=0.941765 t=1257
xuan ran 	渲染	c=1 d=1.09109 t=1257
xue 	學	c=2 d=1.73013 t=1257
xue li 	學歷	c=1 d=0.951229 t=1257
ya yi 	壓抑	c=1 d=0.839457 t=1257
yan chi 	延遲	c=1 d=0.534032 t=1257
yan chi gan 	延遲感	c=1 d=0.918512 t=1257
yang 	陽	c=1 d=0.909373 t=1257
yang zhou 	揚州	c=1 d=0.946485 t=1257
yao 	要	c=0 d=0.0918512 t=1257
yao bu 	要不	c=1 d=0.99005 t=1257
yao bu yao 	要不要	c=1 d=0.941765 t=1257
yao qiu 	要求	c=0 d=0.0980199 t=1257
yao shi 	要是	c=1 d=0.88692 t=1257
yao you 	要有	c=1 d=0.960789 t=1257
ye 	也	c=5 d=2.69542 t=1257
ye bu hao yong 	也不好用	c=1 d=0.891366 t=1257
ye bu shao 	也不少	c=1 d=1 t=1257
ye bu shi 	也不是	c=1 d=0.960789 t=1257
ye bu xing 	也不行	c=1 d=1 t=1257
ye hai hao 	也還好	c=1 d=1 t=1257
ye hui 	也會	c=0 d=0.0995012 t=1257
ye hui gua 	也會掛	c=1 d=1 t=1257
ye mei you 	也沒有	c=1 d=0.852144 t=1257
ye mian 	頁面	c=1 d=1.04207 t=1257
ye shi 	也是	c=1 d=0.972576 t=1257
ye shi yong 	也是用	c=1 d=0.814647 t=1257
ye zha le 	也炸了	c=2 d=1.79247 t=1257
yi 	一	c=2 d=2.01796 t=1257
yi ba 	一把	c=0 d=0.0955997 t=1257
yi ba suo 	一把梭	c=1 d=0.960789 t=1257
yi ban 	一般	c=0 d=0.0774916 t=1257
yi ban bu hui 	一般不會	c=1 d=0.778801 t=1257
yi dian dian 	一點點	c=1 d=0.878095 t=1257
yi ding 	一定	c=0 d=0.143206 t=1257
yi dun 	一頓	c=0 d=0.0826959 t=1257
yi er xian 	一二線	c=1 d=0.860708 t=1257
yi ge 	一個	c=2 d=1.42888 t=1257
yi gong 	一共	c=1 d=0.767206 t=1257
yi hang 	一行	c=0 d=0.0579842 t=1257
yi jian 	一鍵	c=1 d=0.826959 t=1257
yi jing 	已經	c=4 d=2.81052 t=1257
yi kai 	一開	c=1 d=0.985112 t=1257
yi kai shi 	一開始	c=1 d=0.818731 t=1257
yi kuai 	一塊	c=1 d=0.687289 t=1257
yi nian 	一年	c=0 d=0.0798516 t=1257
yi qi 	一起	c=1 d=0.67368 t=1257
yi xia 	一下	c=1 d=1.07244 t=1257
yi yang 	一樣	c=1 d=0.986216 t=1257
yi zhi 	一直	c=1 d=0.995012 t=1257
yi zhi dou shi 	一直都是	c=1 d=0.946485 t=1257
yin jian 	陰間	c=1 d=0.97531 t=1257
yin wei 	因爲	c=1 d=1.00036 t=1257
yin xiang 	印象	c=1 d=1.07118 t=1257
ying gai 	應該	c=2 d=1.62908 t=1257
ying gai shi 	應該是	c=1 d=1 t=1257
ying gai shuo 	應該說	c=1 d=0.869358 t=1257
ying pan 	硬盤	c=1 d=0.995012 t=1257
ying shang 	硬上	c=1 d=0.904837 t=1257
ying she 	映射	c=0 d=0.0980199 t=1257
ying xiang 	影響	c=0 d=0.0895834 t=1257
ying xiang bu da 	影響不大	c=1 d=0.900325 t=1257
yong 	用	c=8 d=4.89221 t=1257
yong bu shang 	用不上	c=1 d=0.715338 t=1257
yong bu zhao 	用不着	c=2 d=1.71803 t=1257
yong de 	用的	c=1 d=1.03453 t=1257
yong guo 	用過	c=0 d=0.186593 t=1257
yong hu 	用戶	c=1 d=0.951229 t=1257
yong lai 	用來	c=0 d=0.097531 t=1257
yong ming ling hang 	用命令行	c=1 d=0.970446 t=1257
yong qi lai 	用起來	c=1 d=0.980199 t=1257
yong zai 	用在	c=1 d=0.995012 t=1257
you 	有	c=4 d=3.51338 t=1257
you ben shi de 	有本事的	c=1 d=0.847894 t=1257
you bu 	又不	c=0 d=0.0869358 t=1257
you bu shi 	又不是	c=2 d=1.80175 t=1257
you bu yi ding 	又不一定	c=1 d=0.873716 t=1257
you dian 	有點	c=3 d=2.53096 t=1257
you dian guai 	有點怪	c=1 d=1 t=1257
you du 	有毒	c=2 d=1.88839 t=1257
you ge 	有個	c=2 d=1.8437 t=1257
you jian 	郵件	c=0 d=0.0960789 t=1257
you qian ren 	有錢人	c=1 d=0.810584 t=1257
you ren 	有人	c=1 d=0.985112 t=1257
you sha 	有啥	c=1 d=0.955997 t=1257
you sha guan xi 	有啥關係	c=1 d=0.767206 t=1257
you xie 	有些	c=1 d=0.985112 t=1257
you yin xiang 	有印象	c=1 d=0.748264 t=1257
you yin ying 	有陰影	c=1 d=0.798516 t=1257
you zhe ge 	有這個	c=1 d=0.955997 t=1257
yu 	喻	c=1 d=0.878095 t=1257
yu ming 	域名	c=0 d=0.0951229 t=1257
yu yan 	語言	c=1 d=0.995012 t=1257
yuan lai 	原來	c=3 d=2.55501 t=1257
yuan ma 	源碼	c=1 d=0.960789 t=1257
yue 	月	c=1 d=1 t=1257
yun wei 	運維	c=1 d=0.869358 t=1257
zai 	在	c=9 d=5.56669 t=1257
zai jia 	在家	c=2 d=1.48419 t=1257
zai na 	在哪	c=0 d=0.0995012 t=1257
zai na tiao 	在哪調	c=1 d=1 t=1257
zai wan 	再玩	c=1 d=0.955997 t=1257
zai yong 	在用	c=1 d=0.97531 t=1257
zen me 	怎麼	c=2 d=2.06019 t=1257
zen me gan jue 	怎麼感覺	c=1 d=0.913931 t=1257
zen me hai shi 	怎麼還是	c=1 d=1 t=1257
zen me hai you 	怎麼還有	c=1 d=0.980199 t=1257
zen me kan 	怎麼看	c=1 d=0.869358 t=1257
zen me miao shu 	怎麼描述	c=1 d=0.737123 t=1257
zen me xie 	怎麼寫	c=1 d=1 t=1257
zha de 	炸的	c=1 d=0.882497 t=1257
zha le 	炸了	c=7 d=5.273 t=1257
zhang 	張	c=1 d=0.774916 t=1257
zhao 	找	c=1 d=0.874408 t=1257
zhao bu dao 	找不到	c=1 d=0.995012 t=1257
zhao chu lai 	找出來	c=0 d=0.0932394 t=1257
zhao de 	找的	c=0 d=0.0980199 t=1257
zhao xi 	朝夕	c=1 d=1 t=1257
zhao yi ge 	找一個	c=1 d=0.932394 t=1257
zhe 	這	c=0 d=0.280577 t=1257
zhe bian 	這邊	c=0 d=0.0970446 t=1257
zhe ci 	這次	c=2 d=1.53863 t=1257
zhe ge 	這個	c=6 d=4.26627 t=1257
zhe ge di fang 	這個地方	c=1 d=0.609571 t=1257
zhe ge hao xiang shi 	這個好象是	c=1 d=0.759572 t=1257
zhe ge que shi 	這個確實	c=1 d=0.985112 t=1257
zhe ge wen ti 	這個問題	c=1 d=0.826959 t=1257
zhe he 	這和	c=1 d=0.763379 t=1257
zhe lei yu 	這雷雨	c=1 d=0.951229 t=1257
zhe li 	這裏	c=1 d=0.644036 t=1257
zhe lia 	這倆	c=1 d=0.980199 t=1257
zhe shi 	這是	c=3 d=2.50231 t=1257
zhe tao 	這套	c=1 d=0.995012 t=1257
zhe teng 	折騰	c=3 d=2.4571 t=1257
zhe wan yi er 	這玩意兒	c=2 d=1.6865 t=1257
zhe yang 	這樣	c=2 d=1.68729 t=1257
zhe zhang 	這張	c=0 d=0.0985112 t=1257
zhe zhang bi zhi 	這張壁紙	c=1 d=0.99005 t=1257
zhe zhong 	這種	c=1 d=0.941765 t=1257
zhen xiang 	真像	c=1 d=1 t=1257
zhen you 	真有	c=0 d=0.0778801 t=1257
zhen you de 	真有的	c=1 d=0.782705 t=1257
zheng chang 	正常	c=2 d=1.43699 t=1257
zheng chang xian shi 	正常顯示	c=1 d=0.995012 t=1257
zheng jing 	正經	c=2 d=1.88052 t=1257
zheng jing ruan jian 	正經軟件	c=1 d=0.891366 t=1257
zheng shu 	證書	c=1 d=0.525305 t=1257
zheng shu guo qi 	證書過期	c=1 d=0.484325 t=1257
zheng zai 	正在	c=0 d=0.0980199 t=1257
zhi 	之	c=2 d=1.95072 t=1257
zhi 	指	c=2 d=1.84956 t=1257
zhi chi 	支持	c=1 d=0.888538 t=1257
zhi da 	只打	c=0 d=0.0937067 t=1257
zhi da 	直達	c=1 d=0.904837 t=1257
zhi da guo 	只打過	c=1 d=0.941765 t=1257
zhi dao 	知道	c=1 d=0.980199 t=1257
zhi hou 	之後	c=3 d=2.18479 t=1257
zhi jie 	直接	c=3 d=2.05832 t=1257
zhi jie zhuang 	直接裝	c=1 d=0.97531 t=1257
zhi kan 	只看	c=0 d=0.0810584 t=1257
zhi zhen 	指針	c=1 d=1.03361 t=1257
zhong 	中	c=1 d=0.980199 t=1257
zhong guo 	中國	c=1 d=0.923116 t=1257
zhu chong 	蛀蟲	c=1 d=0.869358 t=1257
zhu yi 	注意	c=0 d=0.0995012 t=1257
zhuan ye 	專業	c=0 d=0.0932394 t=1257
zhuan ye ka 	專業卡	c=1 d=0.937067 t=1257
zhuan yi 	轉移	c=1 d=0.980199 t=1257
zhuang 	裝	c=3 d=2.38336 t=1257
zhuang de 	裝的	c=0 d=0.0900325 t=1257
zhuang ge 	裝個	c=1 d=0.965605 t=1257
zhuang huai 	撞壞	c=1 d=0.995012 t=1257
zhuang le 	撞了	c=2 d=0.965925 t=1257
zhuang le 	裝了	c=1 d=0.980199 t=1257
zhuang wan 	裝完	c=1 d=0.818731 t=1257
zhuo mian 	桌面	c=2 d=1.58324 t=1257
zi dai 	自帶	c=1 d=0.814647 t=1257
zi dong 	自動	c=1 d=0.826959 t=1257
zi hao 	字號	c=1 d=0.97531 t=1257
zi ji 	自己	c=2 d=1.49671 t=1257
zi ji gai 	自己改	c=1 d=0.900325 t=1257
zi ji xie 	自己寫	c=1 d=0.591555 t=1257
zi ti 	字體	c=2 d=1.96546 t=1257
zi ti xuan ran 	字體渲染	c=1 d=0.965605 t=1257
zou 	奏	c=1 d=0.980199 t=1257
zui 	最	c=1 d=0.802519 t=1257
zui 	罪	c=0 d=0.13802 t=1257
zui di 	最低	c=1 d=0.499074 t=1257
zui gui 	最貴	c=0 d=0.0814647 t=1257
zui gui de 	最貴的	c=1 d=0.818731 t=1257
zui hao 	最好	c=1 d=0.814647 t=1257
zui jian dan de 	最簡單的	c=3 d=1.81466 t=1257
zui qi ma 	罪起碼	c=2 d=1.77872 t=1257
zui xin ban 	最新版	c=1 d=0.97531 t=1257
zuo 	做	c=1 d=0.694197 t=1257
zuo tian 	昨天	c=0 d=0.0869358 t=1257
